Date,Total_PnL,Average_PnL,Total_Volume_Notional,Num_Trades,Num_Longs,Num_Shorts,Effective_Leverage,Long_Short_Ratio,Classification
2024-07-21,-2960.716887,-6.608743051339286,234307.40842,448,239,209,0.004814800139867705,1.143540669850988,Greed
2024-07-22,1517.119876,9.851427766233765,304213.71142,154,103,51,0.021005429281851843,2.019607843097655,Greed
2024-07-23,89890.302206,242.9467627189189,358526.5282,370,137,233,0.004469831096443401,0.5879828326155022,Greed
2024-07-24,625.561479,6.9506831,69207.92880726614,90,54,36,0.10105308280104118,1.4999999999583336,Greed
2024-07-25,916.7382600000001,11.753054615384617,528555.3094460242,78,77,1,0.021902853831209497,76.99999992299999,Greed
2024-07-26,2766.513113,18.200744164473683,548587.650090869,152,43,109,0.036897690134977144,0.39449541284041745,Greed
2024-07-27,6400.623656,112.2916430877193,905199.782580988,57,9,48,0.04352636238273378,0.18749999999609376,Greed
2024-07-28,587.29903,36.706189375,43254.660500000005,16,15,1,0.10047158650056763,14.999999984999999,Greed
2024-07-29,330.80445399999996,8.482165487179486,327199.14641000004,39,18,21,0.2151075513675477,0.8571428571020409,Greed
2024-07-30,0.0,0.0,36006.47697,6,6,0,0.03668058244470611,6000000000.0,Greed
2024-07-31,765.690884,17.806764744186047,84506.534086,43,17,26,0.10826796517667663,0.6538461538210059,Greed
2024-08-02,782.3681909999999,12.418542714285714,396320.3565008986,63,42,21,0.022659922307116755,1.999999999904762,Greed
2024-08-03,464.1897,12.545667567567568,290532.88809492247,37,36,1,0.029478798378256146,35.999999964,Fear
2024-08-04,-122672.000883,-965.9212667952756,1207744.076719446,127,60,67,0.059274125152649314,0.8955223880463354,Fear
2024-08-05,-13013.665169,-162.6708146125,420495.37342,80,41,39,0.17864386123868572,1.0512820512550953,Fear
2024-08-06,267.318048,2.4982995140186914,61478.393769969996,107,76,31,0.060168957316058744,2.451612903146722,Fear
2024-08-07,188.789255,5.720886515151515,2492.769600670129,33,12,21,0.01409870079605737,0.5714285714013605,Fear
2024-08-08,-40.712216999999995,-4.5235796666666666,16299.355026344874,9,5,4,0.053290627967425404,1.2499999996875,Fear
2024-08-10,0.0,0.0,11339.27659695112,88,87,1,0.01440111974070832,86.999999913,Fear
2024-08-11,847.7766200000001,35.32402583333334,44230.218423,24,16,8,0.13032655965124332,1.99999999975,Fear
2024-08-12,858.6705000000001,17.88896875,54167.3325293208,48,39,9,0.10525619788719062,4.3333333328518515,Fear
2024-08-13,212.08102,9.220913913043479,20797.882690046135,23,20,3,0.065962395451186,6.666666664444445,Fear
2024-08-14,2168.9015130000003,86.75606052,66710.01885611855,25,19,6,0.16972441450735934,3.1666666661388887,Fear
2024-08-15,0.0,0.0,1522.367833,12,12,0,0.005777612901672504,12000000000.0,Fear
2024-08-16,825.230544,23.578015542857145,166382.806193,35,32,3,0.23578950108448424,10.66666666311111,Fear
2024-08-17,-288.283113,-9.609437100000001,30248.943302,30,29,1,0.01872159051667973,28.999999970999998,Fear
2024-08-18,307.201888,20.480125866666665,62804.47477449648,15,0,15,0.17823269640291514,0.0,Fear
2024-08-19,339.69958299999996,42.462447874999995,100315.03385,8,3,5,0.552693354249014,0.59999999988,Fear
2024-08-20,192.602844,16.050237,49914.79692,12,5,7,0.2531245527023346,0.7142857141836735,Fear
2024-08-21,656.200925,4.525523620689655,104990.427218,145,56,89,0.039341720315859655,0.6292134831389976,Fear
2024-08-23,1005.30527,100.53052699999999,63509.55795,10,0,10,0.41671169466567914,0.0,Fear
2024-08-24,0.0,0.0,34999.670079999996,7,0,7,0.3707774603785174,0.0,Greed
2024-08-26,231.236918,38.539486333333336,92611.27523,6,6,0,0.5956538528530568,6000000000.0,Greed
2024-08-28,1333.359645,148.15107166666667,71160.08737,9,9,0,0.09815451215215988,9000000000.0,Fear
2024-08-29,0.0,0.0,9995.8488,1,0,1,9995848800000.0,0.0,Fear
2024-08-30,256.464,42.744,37233.242888535875,6,4,2,0.08746037227880595,1.999999999,Fear
2024-08-31,10.882801,0.3200823823529412,107507.43109782883,34,11,23,0.5542806433284092,0.47826086954442343,Fear
2024-09-01,137.433093,11.452757750000002,12359.663834683,12,7,5,0.4470940297032795,1.3999999997199999,Fear
2024-09-02,0.0,0.0,30000.424769999998,2,2,0,0.09045999209937206,1999999999.9999998,Fear
2024-09-04,1065.785132,31.346621529411763,131480.94938499999,34,31,3,0.15233001395471144,10.33333332988889,Fear
2024-09-05,0.0,0.0,0.8427951946369999,1,0,1,0.9999999988134721,0.0,Fear
2024-09-06,-1104.856765,-26.306113452380952,39047.114830000006,42,4,38,0.02933099354276307,0.10526315789196677,Fear
2024-09-08,0.0,0.0,0.10981749839999999,1,0,1,0.9999999908939832,0.0,Fear
2024-09-09,0.0,0.0,4014.42,2,2,0,0.1709495197898999,1999999999.9999998,Fear
2024-09-10,-219.729659,-73.24321966666666,2547.28609,3,1,2,0.13856822554124887,0.49999999975,Fear
2024-09-11,0.0,0.0,0.5380624473,1,0,1,0.9999999981414798,0.0,Fear
2024-09-25,0.0,0.0,52754.136719999995,9,6,3,0.21022875826869572,1.9999999993333333,Greed
2024-09-27,0.0,0.0,126097.029356,56,0,56,0.025272376696352097,0.0,Greed
2024-09-28,0.0,0.0,29199.208700000003,4,0,4,0.0670288785479917,0.0,Greed
2024-09-30,2710.626288,25.571946113207545,214670.00032,106,10,96,0.015871468397413754,0.1041666666655816,Greed
2024-10-02,0.0,0.0,99954.34189,4,4,0,0.11078047038443947,3999999999.9999995,Fear
2024-10-03,100.375782,11.152864666666666,132935.701832,9,6,3,0.10114684085354146,1.9999999993333333,Fear
2024-10-04,0.0,0.0,0.33810461189999996,1,0,1,0.9999999970423354,0.0,Fear
2024-10-10,0.0,0.0,300024.33151,16,16,0,0.07214844505209177,15999999999.999998,Fear
2024-10-11,8885.327477,341.74336450000004,488904.16735649866,26,0,26,0.12103224261831613,0.0,Fear
2024-10-15,1170.2260760000001,167.17515371428573,81173.36482999999,7,3,4,0.7255732833658124,0.7499999998125,Greed
2024-10-16,219.480876,19.95280690909091,80229.16954,11,8,3,0.7199057207164844,2.6666666657777776,Greed
2024-10-17,36.11496,4.0127733333333335,140531.75086,9,7,2,1.0431597400767734,3.49999999825,Greed
2024-10-18,333.219141,55.536523499999994,120331.43022,6,1,5,0.42596625390207965,0.19999999996,Greed
2024-10-19,0.0,0.0,99996.86605000001,4,4,0,1.0037567954846067,3999999999.9999995,Greed
2024-10-20,389.155797,4.05370621875,176447.874719,96,7,89,0.10573035157553592,0.0786516853923747,Greed
2024-10-21,2464.915564,14.248066843930635,324118.01302,173,79,94,0.06991283110559886,0.8404255319059529,Greed
2024-10-22,0.0,0.0,60000.3603,3,3,0,0.11849966631002425,3000000000.0,Greed
2024-10-23,-46.489941,-2.5827745,210006.05804,18,15,3,0.10044948102156366,4.999999998333333,Greed
2024-10-25,13235.862071,441.19540236666666,427883.18564,30,14,16,0.16194599297046097,0.8749999999453125,Greed
2024-10-27,666.6623079999999,166.66557699999998,90664.40483,4,0,4,0.5285795052190079,0.0,Greed
2024-10-28,167.28016200000002,12.867704769230771,121495.23672,13,0,13,0.10829881200720694,0.0,Greed
2024-10-29,801.170876,15.11643162264151,613267.82764,53,3,50,0.03966210698089551,0.059999999998800006,Greed
2024-10-30,9.150023,0.36600091999999995,11830.848523,25,8,17,0.1426739026109161,0.470588235266436,Greed
2024-10-31,1214.043811,25.292579395833332,896173.3526710001,48,42,6,0.07599539899121217,6.999999998833333,Greed
2024-11-01,1040.475736,45.238075478260875,260981.03281,23,13,10,0.5458874491973165,1.29999999987,Greed
2024-11-02,0.0,0.0,39999.9936,2,2,0,0.26941062945367994,1999999999.9999998,Greed
